"Step","Proposed_Uniform - rollout/success_rate","Proposed_Uniform - rollout/success_rate__MIN","Proposed_Uniform - rollout/success_rate__MAX","Prior_Uniform - rollout/success_rate","Prior_Uniform - rollout/success_rate__MIN","Prior_Uniform - rollout/success_rate__MAX","Prior_Strong - rollout/success_rate","Prior_Strong - rollout/success_rate__MIN","Prior_Strong - rollout/success_rate__MAX","Proposed_hard - rollout/success_rate","Proposed_hard - rollout/success_rate__MIN","Proposed_hard - rollout/success_rate__MAX","Proposed_medium2 - rollout/success_rate","Proposed_medium2 - rollout/success_rate__MIN","Proposed_medium2 - rollout/success_rate__MAX","Prior_medium2 - rollout/success_rate","Prior_medium2 - rollout/success_rate__MIN","Prior_medium2 - rollout/success_rate__MAX"
"543","0.22","0.22","0.22","","","","","","","","","","","","","","",""
"545","","","","","","","0.22","0.22","0.22","","","","","","","0.15","0.15","0.15"
"547","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"555","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"557","0.22","0.22","0.22","","","","","","","","","","","","","","",""
"559","","","","","","","","","","","","","","","","0.17","0.17","0.17"
"561","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"565","","","","0.21","0.21","0.21","","","","","","","","","","","",""
"571","0.24","0.24","0.24","","","","","","","","","","","","","","",""
"573","","","","","","","","","","","","","","","","0.16","0.16","0.16"
"575","","","","","","","","","","0.13","0.13","0.13","","","","","",""
"579","","","","0.21","0.21","0.21","","","","","","","","","","","",""
"581","","","","","","","0.24","0.24","0.24","","","","","","","","",""
"585","0.24","0.24","0.24","","","","","","","","","","","","","","",""
"589","","","","","","","","","","0.14","0.14","0.14","","","","","",""
"591","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"595","","","","","","","0.27","0.27","0.27","","","","","","","","",""
"599","0.25","0.25","0.25","","","","","","","","","","","","","","",""
"603","","","","","","","","","","0.14","0.14","0.14","","","","","",""
"605","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"606","","","","0.2","0.2","0.2","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","0.19","0.19","0.19"
"614","","","","","","","0.27","0.27","0.27","","","","","","","","",""
"617","","","","","","","","","","0.13","0.13","0.13","","","","","",""
"619","","","","","","","","","","","","","0.11","0.11","0.11","","",""
"620","","","","0.21","0.21","0.21","","","","","","","","","","","",""
"628","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"633","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"634","","","","0.24","0.24","0.24","","","","","","","","","","","",""
"635","0.28","0.28","0.28","","","","","","","","","","","","","","",""
"636","","","","","","","","","","","","","","","","0.19","0.19","0.19"
"642","","","","","","","0.32","0.32","0.32","","","","","","","","",""
"647","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"648","","","","0.24","0.24","0.24","","","","","","","","","","","",""
"649","0.27","0.27","0.27","","","","","","","","","","","","","","",""
"650","","","","","","","","","","","","","","","","0.16","0.16","0.16"
"653","","","","","","","","","","0.13","0.13","0.13","","","","","",""
"656","","","","","","","0.32","0.32","0.32","","","","","","","","",""
"661","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"662","","","","0.24","0.24","0.24","","","","","","","","","","","",""
"664","","","","","","","","","","","","","","","","0.16","0.16","0.16"
"670","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"676","0.28","0.28","0.28","0.23","0.23","0.23","","","","","","","","","","","",""
"678","","","","","","","","","","","","","","","","0.17","0.17","0.17"
