"Step","Proposed_Uniform - rollout/ep_rew_mean","Proposed_Uniform - rollout/ep_rew_mean__MIN","Proposed_Uniform - rollout/ep_rew_mean__MAX","Prior_Uniform - rollout/ep_rew_mean","Prior_Uniform - rollout/ep_rew_mean__MIN","Prior_Uniform - rollout/ep_rew_mean__MAX","Prior_Strong - rollout/ep_rew_mean","Prior_Strong - rollout/ep_rew_mean__MIN","Prior_Strong - rollout/ep_rew_mean__MAX","Proposed_hard - rollout/ep_rew_mean","Proposed_hard - rollout/ep_rew_mean__MIN","Proposed_hard - rollout/ep_rew_mean__MAX","Proposed_medium2 - rollout/ep_rew_mean","Proposed_medium2 - rollout/ep_rew_mean__MIN","Proposed_medium2 - rollout/ep_rew_mean__MAX","Prior_medium2 - rollout/ep_rew_mean","Prior_medium2 - rollout/ep_rew_mean__MIN","Prior_medium2 - rollout/ep_rew_mean__MAX"
"341","","","","","","","-128.7791","-128.7791","-128.7791","","","","","","","-116.96604","-116.96604","-116.96604"
"346","","","","","","","","","","","","","-146.52834","-146.52834","-146.52834","","",""
"347","","","","-110.59266","-110.59266","-110.59266","","","","","","","","","","","",""
"349","-126.20784","-126.20784","-126.20784","","","","","","","","","","","","","","",""
"355","","","","","","","-119.39471","-119.39471","-119.39471","","","","","","","-113.58952","-113.58952","-113.58952"
"360","","","","","","","","","","","","","-146.17448","-146.17448","-146.17448","","",""
"363","-120.21855","-120.21855","-120.21855","","","","","","","","","","","","","","",""
"369","","","","","","","","","","","","","","","","-101.18323","-101.18323","-101.18323"
"377","-118.17363","-118.17363","-118.17363","","","","","","","","","","","","","","",""
"379","","","","","","","","","","-118.97293","-118.97293","-118.97293","","","","","",""
"383","","","","-104.27435","-104.27435","-104.27435","","","","","","","","","","-95.51001","-95.51001","-95.51001"
"391","-112.23446","-112.23446","-112.23446","","","","-107.98039","-107.98039","-107.98039","","","","-139.55142","-139.55142","-139.55142","","",""
"393","","","","","","","","","","-113.36045","-113.36045","-113.36045","","","","","",""
"395","","","","","","","-107.98039","-107.98039","-107.98039","","","","","","","","",""
"397","","","","-101.66136","-101.66136","-101.66136","","","","","","","","","","","",""
"399","","","","","","","-104.707825","-104.707825","-104.707825","","","","","","","","",""
"405","","","","","","","","","","","","","-126.67485","-126.67485","-126.67485","","",""
"407","","","","","","","","","","-113.36045","-113.36045","-113.36045","","","","","",""
"411","","","","-94.182556","-94.182556","-94.182556","","","","-114.53458","-114.53458","-114.53458","","","","","",""
"413","","","","","","","-94.97132","-94.97132","-94.97132","","","","","","","","",""
"419","","","","","","","","","","","","","-124.28884","-124.28884","-124.28884","-92.69551","-92.69551","-92.69551"
"425","","","","-93.131134","-93.131134","-93.131134","","","","","","","","","","","",""
"427","-109.41493","-109.41493","-109.41493","","","","-89.591156","-89.591156","-89.591156","","","","","","","","",""
"431","-104.55818","-104.55818","-104.55818","","","","","","","","","","","","","","",""
"433","","","","","","","","","","","","","-119.130135","-119.130135","-119.130135","-89.82447","-89.82447","-89.82447"
"441","","","","","","","-95.52115","-95.52115","-95.52115","","","","","","","","",""
"444","","","","-90.34773","-90.34773","-90.34773","","","","","","","","","","","",""
"445","-93.19237","-93.19237","-93.19237","","","","","","","","","","","","","","",""
"447","","","","","","","","","","-118.75209","-118.75209","-118.75209","-114.45577","-114.45577","-114.45577","-85.51593","-85.51593","-85.51593"
"451","","","","","","","","","","-118.75209","-118.75209","-118.75209","","","","","",""
"455","","","","","","","","","","-118.58087","-118.58087","-118.58087","","","","","",""
"458","","","","-89.87301","-89.87301","-89.87301","","","","","","","","","","","",""
"459","-87.47716","-87.47716","-87.47716","","","","","","","","","","","","","","",""
"460","","","","","","","-92.89439","-92.89439","-92.89439","","","","","","","","",""
"469","","","","","","","","","","-114.14357","-114.14357","-114.14357","","","","","",""
"472","","","","-87.661095","-87.661095","-87.661095","","","","","","","","","","","",""
"473","-89.426346","-89.426346","-89.426346","","","","","","","","","","","","","","",""
"474","","","","","","","-95.487595","-95.487595","-95.487595","","","","","","","-92.74657","-92.74657","-92.74657"
"481","","","","","","","","","","","","","-115.15543","-115.15543","-115.15543","","",""
"483","","","","","","","","","","-112.25805","-112.25805","-112.25805","","","","","",""
"485","","","","","","","","","","","","","-114.9731","-114.9731","-114.9731","","",""
"486","","","","-89.8528","-89.8528","-89.8528","","","","","","","","","","","",""
"488","","","","","","","-98.56463","-98.56463","-98.56463","","","","","","","-91.85738","-91.85738","-91.85738"
"499","","","","","","","","","","","","","-114.31214","-114.31214","-114.31214","","",""
"500","-87.902115","-87.902115","-87.902115","-88.5595","-88.5595","-88.5595","","","","","","","","","","","",""
"502","","","","","","","-92.133125","-92.133125","-92.133125","","","","","","","-91.68415","-91.68415","-91.68415"
"510","","","","","","","","","","-115.160805","-115.160805","-115.160805","","","","","",""
"513","","","","","","","","","","","","","-110.8653","-110.8653","-110.8653","","",""
"514","-84.60999","-84.60999","-84.60999","-85.57398","-85.57398","-85.57398","","","","","","","","","","","",""
"516","","","","","","","-85.8352","-85.8352","-85.8352","","","","","","","-95.89763","-95.89763","-95.89763"
"527","","","","","","","","","","","","","-107.95715","-107.95715","-107.95715","","",""
"528","","","","-80.22381","-80.22381","-80.22381","","","","","","","","","","","",""
"530","","","","","","","-83.245285","-83.245285","-83.245285","","","","","","","-92.87296","-92.87296","-92.87296"
"542","-77.999916","-77.999916","-77.999916","","","","","","","","","","","","","","",""
"544","","","","","","","-77.01888","-77.01888","-77.01888","","","","","","","-91.3843","-91.3843","-91.3843"
"546","","","","","","","","","","-116.59322","-116.59322","-116.59322","","","","","",""
"554","","","","","","","","","","","","","-100.145454","-100.145454","-100.145454","","",""
"556","-78.568275","-78.568275","-78.568275","","","","","","","","","","","","","","",""
"558","","","","","","","","","","","","","","","","-86.547005","-86.547005","-86.547005"
"560","","","","","","","","","","-117.201195","-117.201195","-117.201195","","","","","",""
"564","","","","-81.09964","-81.09964","-81.09964","","","","","","","","","","","",""
"570","-72.18786","-72.18786","-72.18786","","","","","","","","","","","","","","",""
"572","","","","","","","","","","","","","","","","-88.79015","-88.79015","-88.79015"
"574","","","","","","","","","","-114.21226","-114.21226","-114.21226","","","","","",""
"578","","","","-83.629425","-83.629425","-83.629425","","","","","","","","","","","",""
"580","","","","","","","-74.59782","-74.59782","-74.59782","","","","","","","","",""
"584","-70.66033","-70.66033","-70.66033","","","","","","","","","","","","","","",""
"588","","","","","","","","","","-111.8996","-111.8996","-111.8996","","","","","",""
"590","","","","","","","","","","","","","-99.80357","-99.80357","-99.80357","","",""
"594","","","","","","","-66.30017","-66.30017","-66.30017","","","","","","","","",""
"598","-67.88821","-67.88821","-67.88821","","","","","","","","","","","","","","",""
"602","","","","","","","","","","-119.37146","-119.37146","-119.37146","","","","","",""
"604","","","","","","","","","","","","","-105.54055","-105.54055","-105.54055","","",""
"605","","","","-85.83071","-85.83071","-85.83071","","","","","","","","","","","",""
"608","","","","","","","","","","","","","","","","-82.811264","-82.811264","-82.811264"
"613","","","","","","","-64.9293","-64.9293","-64.9293","","","","","","","","",""
"616","","","","","","","","","","-119.803024","-119.803024","-119.803024","","","","","",""
"618","","","","","","","","","","","","","-107.859024","-107.859024","-107.859024","","",""
"619","","","","-83.177345","-83.177345","-83.177345","","","","","","","","","","","",""
"627","","","","","","","-55.741974","-55.741974","-55.741974","","","","","","","","",""
"632","","","","","","","","","","","","","-107.57381","-107.57381","-107.57381","","",""
"633","","","","-75.662056","-75.662056","-75.662056","","","","","","","","","","","",""
"634","-60.996746","-60.996746","-60.996746","","","","","","","","","","","","","","",""
"635","","","","","","","","","","","","","","","","-82.826996","-82.826996","-82.826996"
"641","","","","","","","-51.732044","-51.732044","-51.732044","","","","","","","","",""
"646","","","","","","","","","","","","","-105.63783","-105.63783","-105.63783","","",""
"647","","","","-76.935196","-76.935196","-76.935196","","","","","","","","","","","",""
"648","-62.1551","-62.1551","-62.1551","","","","","","","","","","","","","","",""
"649","","","","","","","","","","","","","","","","-89.917404","-89.917404","-89.917404"
"652","","","","","","","","","","-119.927864","-119.927864","-119.927864","","","","","",""
"655","","","","","","","-51.390644","-51.390644","-51.390644","","","","","","","","",""
"660","","","","","","","","","","","","","-110.29943","-110.29943","-110.29943","","",""
"661","","","","-74.64646","-74.64646","-74.64646","","","","","","","","","","","",""
"663","","","","","","","","","","","","","","","","-88.71949","-88.71949","-88.71949"
"669","","","","","","","-53.433968","-53.433968","-53.433968","","","","","","","","",""
"675","-58.706657","-58.706657","-58.706657","-75.75062","-75.75062","-75.75062","","","","","","","","","","","",""
"677","","","","","","","","","","","","","","","","-85.86992","-85.86992","-85.86992"
"679","","","","","","","","","","-114.40162","-114.40162","-114.40162","","","","","",""
"683","","","","","","","-53.5209","-53.5209","-53.5209","","","","","","","","",""
"689","-55.85762","-55.85762","-55.85762","-72.07027","-72.07027","-72.07027","","","","","","","","","","","",""
"691","","","","","","","","","","","","","","","","-83.525375","-83.525375","-83.525375"
"693","","","","","","","","","","-114.82694","-114.82694","-114.82694","","","","","",""
"696","","","","","","","","","","","","","-103.555046","-103.555046","-103.555046","","",""
"697","","","","","","","-54.62224","-54.62224","-54.62224","","","","","","","","",""
"703","-59.480827","-59.480827","-59.480827","-70.286316","-70.286316","-70.286316","","","","","","","","","","","",""
"705","","","","","","","","","","","","","","","","-83.15385","-83.15385","-83.15385"
"707","","","","","","","","","","-116.28548","-116.28548","-116.28548","","","","","",""
"711","","","","","","","-55.57513","-55.57513","-55.57513","","","","","","","","",""
"717","-64.36517","-64.36517","-64.36517","-68.20688","-68.20688","-68.20688","","","","","","","","","","","",""
"719","","","","","","","","","","","","","","","","-80.33257","-80.33257","-80.33257"
"721","","","","","","","","","","-118.71726","-118.71726","-118.71726","","","","","",""
"723","","","","","","","","","","","","","-97.70845","-97.70845","-97.70845","","",""
"725","","","","","","","-58.198486","-58.198486","-58.198486","","","","","","","","",""
"731","","","","-60.637108","-60.637108","-60.637108","","","","","","","","","","","",""
"733","","","","","","","","","","","","","","","","-75.0605","-75.0605","-75.0605"
"737","","","","","","","","","","","","","-98.52382","-98.52382","-98.52382","","",""
"747","","","","","","","","","","","","","","","","-77.5194","-77.5194","-77.5194"
"751","","","","","","","","","","","","","-94.31533","-94.31533","-94.31533","","",""
"753","-62.552692","-62.552692","-62.552692","","","","","","","","","","","","","","",""
