"Step","Proposed_Uniform - rollout/ep_len_mean","Proposed_Uniform - rollout/ep_len_mean__MIN","Proposed_Uniform - rollout/ep_len_mean__MAX","Prior_Uniform - rollout/ep_len_mean","Prior_Uniform - rollout/ep_len_mean__MIN","Prior_Uniform - rollout/ep_len_mean__MAX","Prior_Strong - rollout/ep_len_mean","Prior_Strong - rollout/ep_len_mean__MIN","Prior_Strong - rollout/ep_len_mean__MAX","Proposed_hard - rollout/ep_len_mean","Proposed_hard - rollout/ep_len_mean__MIN","Proposed_hard - rollout/ep_len_mean__MAX","Proposed_medium2 - rollout/ep_len_mean","Proposed_medium2 - rollout/ep_len_mean__MIN","Proposed_medium2 - rollout/ep_len_mean__MAX","Prior_medium2 - rollout/ep_len_mean","Prior_medium2 - rollout/ep_len_mean__MIN","Prior_medium2 - rollout/ep_len_mean__MAX"
"543","","","","","","","676.28","676.28","676.28","","","","","","","679.51","679.51","679.51"
"545","","","","","","","","","","701.61","701.61","701.61","","","","","",""
"553","","","","","","","","","","","","","682.51","682.51","682.51","","",""
"555","650.4","650.4","650.4","","","","","","","","","","","","","","",""
"557","","","","","","","","","","","","","","","","672.16","672.16","672.16"
"559","","","","","","","","","","701.61","701.61","701.61","","","","","",""
"563","","","","670.25","670.25","670.25","","","","","","","","","","","",""
"569","638.55","638.55","638.55","","","","","","","","","","","","","","",""
"571","","","","","","","","","","","","","","","","673.73","673.73","673.73"
"573","","","","","","","","","","695.44","695.44","695.44","","","","","",""
"577","","","","670.25","670.25","670.25","","","","","","","","","","","",""
"579","","","","","","","668.89","668.89","668.89","","","","","","","","",""
"583","633.22","633.22","633.22","","","","","","","","","","","","","","",""
"587","","","","","","","","","","691.05","691.05","691.05","","","","","",""
"589","","","","","","","","","","","","","682.51","682.51","682.51","","",""
"593","","","","","","","656.14","656.14","656.14","","","","","","","","",""
"597","630.88","630.88","630.88","","","","","","","","","","","","","","",""
"601","","","","","","","","","","691.05","691.05","691.05","","","","","",""
"603","","","","","","","","","","","","","689.25","689.25","689.25","","",""
"604","","","","679.83","679.83","679.83","","","","","","","","","","","",""
"607","","","","","","","","","","","","","","","","665.93","665.93","665.93"
"612","","","","","","","656.14","656.14","656.14","","","","","","","","",""
"615","","","","","","","","","","695.53","695.53","695.53","","","","","",""
"617","","","","","","","","","","","","","695.81","695.81","695.81","","",""
"618","","","","676.1","676.1","676.1","","","","","","","","","","","",""
"626","","","","","","","645.32","645.32","645.32","","","","","","","","",""
"631","","","","","","","","","","","","","691.42","691.42","691.42","","",""
"632","","","","665.58","665.58","665.58","","","","","","","","","","","",""
"633","628.85","628.85","628.85","","","","","","","","","","","","","","",""
"634","","","","","","","","","","","","","","","","664.21","664.21","664.21"
"640","","","","","","","644.2","644.2","644.2","","","","","","","","",""
"645","","","","","","","","","","","","","691.42","691.42","691.42","","",""
"646","","","","665.58","665.58","665.58","","","","","","","","","","","",""
"647","635.03","635.03","635.03","","","","","","","","","","","","","","",""
"648","","","","","","","","","","","","","","","","680.1","680.1","680.1"
"651","","","","","","","","","","692.41","692.41","692.41","","","","","",""
"654","","","","","","","641.32","641.32","641.32","","","","","","","","",""
"659","","","","","","","","","","","","","691.42","691.42","691.42","","",""
"660","","","","659.22","659.22","659.22","","","","","","","","","","","",""
"662","","","","","","","","","","","","","","","","678.83","678.83","678.83"
"668","","","","","","","641.47","641.47","641.47","","","","","","","","",""
"674","629.53","629.53","629.53","662.66","662.66","662.66","","","","","","","","","","","",""
"676","","","","","","","","","","","","","","","","673.8","673.8","673.8"
"678","","","","","","","","","","687.04","687.04","687.04","","","","","",""
"682","","","","","","","641.47","641.47","641.47","","","","","","","","",""
"688","622.63","622.63","622.63","657.37","657.37","657.37","","","","","","","","","","","",""
"690","","","","","","","","","","","","","","","","667.1","667.1","667.1"
"692","","","","","","","","","","686.55","686.55","686.55","","","","","",""
"695","","","","","","","","","","","","","681.66","681.66","681.66","","",""
"696","","","","","","","641.34","641.34","641.34","","","","","","","","",""
"702","632.59","632.59","632.59","657.08","657.08","657.08","","","","","","","","","","","",""
"704","","","","","","","","","","","","","","","","663.62","663.62","663.62"
"706","","","","","","","","","","686.55","686.55","686.55","","","","","",""
"710","","","","","","","644.79","644.79","644.79","","","","","","","","",""
"716","638.31","638.31","638.31","651.93","651.93","651.93","","","","","","","","","","","",""
"718","","","","","","","","","","","","","","","","658.72","658.72","658.72"
"720","","","","","","","","","","686.4","686.4","686.4","","","","","",""
"722","","","","","","","","","","","","","679.2","679.2","679.2","","",""
"724","","","","","","","651.43","651.43","651.43","","","","","","","","",""
"730","","","","633.42","633.42","633.42","","","","","","","","","","","",""
"732","","","","","","","","","","","","","","","","652.04","652.04","652.04"
"736","","","","","","","","","","","","","674.2","674.2","674.2","","",""
"746","","","","","","","","","","","","","","","","658.15","658.15","658.15"
"750","","","","","","","","","","","","","668.38","668.38","668.38","","",""
"752","633.99","633.99","633.99","","","","","","","","","","","","","","",""
"756","","","","","","","","","","688.25","688.25","688.25","","","","","",""
"760","","","","","","","","","","","","","","","","650.9","650.9","650.9"
"764","","","","","","","651.82","651.82","651.82","","","","666.42","666.42","666.42","","",""
"766","637.49","637.49","637.49","","","","","","","","","","","","","","",""
"770","","","","633.73","633.73","633.73","","","","693.8","693.8","693.8","","","","","",""
"774","","","","","","","","","","","","","","","","644.99","644.99","644.99"
"778","","","","","","","650.38","650.38","650.38","","","","654.14","654.14","654.14","","",""
"780","630.24","630.24","630.24","","","","","","","","","","","","","","",""
"784","","","","636.99","636.99","636.99","","","","697.94","697.94","697.94","","","","","",""
"792","","","","","","","639.42","639.42","639.42","","","","","","","","",""
"794","623.02","623.02","623.02","","","","","","","","","","","","","","",""
"798","","","","630.85","630.85","630.85","","","","694.46","694.46","694.46","","","","","",""
"806","","","","","","","628.9","628.9","628.9","","","","","","","650.04","650.04","650.04"
"808","624.94","624.94","624.94","","","","","","","","","","","","","","",""
"812","","","","620.81","620.81","620.81","","","","693.15","693.15","693.15","","","","","",""
"814","","","","","","","","","","","","","649.81","649.81","649.81","","",""
"820","","","","","","","635.13","635.13","635.13","","","","","","","650.31","650.31","650.31"
